Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Persons_In_Communal_Establishments_Establishments_2011,Persons_In_Communal_Establishments_Persons_2011
17318,27003001,A027003001,32037,037 Ashfield,Cavan,Border,BMW,North and West,0,0
17319,27003002,A027003002,32037,037 Ashfield,Cavan,Border,BMW,North and West,0,0
17180,27004001,A027004001,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17181,27004002,A027004002,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17182,27004003,A027004003,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17183,27004004,A027004004,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17184,27004005,A027004005,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17185,27004006,A027004006,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17186,27004007,A027004007,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17187,27004008,A027004008,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17188,27004009,A027004009,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17189,27004010,A027004010,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17190,27004011,A027004011,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17191,27004012,A027004012,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17192,27004013,A027004013,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17193,27004014,A027004014,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17194,27004015,A027004015,32002,002 Bailieborough,Cavan,Border,BMW,North and West,1,35
17195,27004016,A027004016,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17196,27004017,A027004017,32002,002 Bailieborough,Cavan,Border,BMW,North and West,1,4
17197,27004018,A027004018,32002,002 Bailieborough,Cavan,Border,BMW,North and West,0,0
17320,27005001,A027005001,32038,038 Ballintemple,Cavan,Border,BMW,North and West,0,0
17321,27005002,A027005002,32038,038 Ballintemple,Cavan,Border,BMW,North and West,0,0
17239,27006001,A027006001,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,0,0
17240,27006002,A027006002,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,0,0
17241,27006003,A027006003,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,0,0
17242,27006004,A027006004,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,1,25
